file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,57.14%,8,0,4,2
ES2002a - Remote design wrap up,38.46%,14,0,7,4
ES2002a - Remote functionality,60.00%,31,0,18,8
ES2002b - Desired functions,57.14%,22,0,12,8
ES2002b - Target audience,48.28%,30,0,16,6
ES2002c - LCD display,58.33%,13,0,11,6
ES2002c - Light option,60.00%,21,0,9,11
ES2002c - Remote shape,68.18%,23,0,14,7
ES2002c - Technology,40.00%,16,0,8,4
ES2002d - Digital pens,25.00%,13,0,5,3
ES2002d - Jog dial use,50.00%,21,0,9,7
ES2002d - Leadership,69.23%,14,0,8,5
ES2002d - Remote height,31.25%,17,0,8,8
ES2002d - Remote size,80.00%,11,0,7,7
ES2002d - Remote width,58.33%,13,0,4,5
ES2002d - Teamwork,41.67%,25,0,10,6
ES2003a - Marktpositie AB,57.14%,22,0,12,9
ES2003a - User wishes,64.29%,15,0,7,5
ES2003b - Joystick use,66.67%,22,0,13,9
ES2003b - Remote purpose,48.89%,46,0,19,6
ES2003c - Manufacturer codes,66.67%,19,0,13,6
ES2003c - Remote design,40.91%,23,0,10,8
ES2003c - Three types of batteries,46.67%,16,0,7,5
ES2003c - USB functionality,56.52%,24,0,11,11
ES2003d - Fashion score,50.00%,41,0,23,14
ES2003d - Innovation score,33.33%,13,0,5,4
ES2003d - Lost remote score,50.00%,23,0,10,5
ES2003d - Remote cost,54.13%,110,0,29,6
ES2004a - Older generation,52.63%,20,0,9,5
ES2004b - Batteries,50.00%,15,0,8,8
ES2004b - Combined remote,44.44%,19,0,9,7
ES2004b - Remote design,58.82%,18,0,6,3
ES2004b - Target audience,40.00%,6,0,4,2
ES2004b - Touch screen,50.00%,11,0,5,3
ES2004b - Video plus,50.00%,19,0,9,5
ES2004c - Battery options,61.76%,35,0,20,7
ES2004c - Different fasciae,69.23%,14,0,5,4
ES2004d - Rubber remote,66.67%,22,0,15,9
ES2005b - Lost remote,66.67%,19,0,11,5
ES2005c - LCD screen,52.38%,22,0,13,6
ES2005c - Rechargeable,42.50%,41,0,20,6
ES2005c - Remote casing,46.67%,16,0,7,4
ES2005c - Remote casings,50.00%,23,0,11,7
ES2005c - Remote color,28.57%,15,0,6,10
ES2005d - Trend score,50.00%,13,0,9,4
ES2006a - Remote first ideas,61.90%,22,0,10,6
ES2006b - Target audience,30.00%,21,0,12,6
ES2006b - Voice recognition or buttons,63.64%,12,0,5,4
ES2006b - Voice recognition,41.18%,18,0,9,7
ES2006d - Flipping open,64.71%,18,0,8,9
