file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,0.2857142857142857,8,0,3,2
ES2002a - Remote design wrap up,0.46153846153846156,14,0,6,4
ES2002a - Remote functionality,0.43333333333333335,31,0,13,8
ES2002b - Desired functions,0.38095238095238093,22,0,9,8
ES2002b - Target audience,0.3103448275862069,30,0,9,6
ES2002c - LCD display,0.5,13,0,6,6
ES2002c - Light option,0.4,21,0,7,11
ES2002c - Remote shape,0.4090909090909091,23,0,9,7
ES2002c - Technology,0.3333333333333333,16,0,5,4
ES2002d - Digital pens,0.3333333333333333,13,0,4,3
ES2002d - Jog dial use,0.5,21,0,7,7
ES2002d - Leadership,0.3076923076923077,14,0,4,5
ES2002d - Remote height,0.25,17,0,6,8
ES2002d - Remote size,0.7,11,0,5,7
ES2002d - Remote width,0.5,13,0,4,5
ES2002d - Teamwork,0.2916666666666667,25,0,8,6
ES2003a - Marktpositie AB,0.2857142857142857,22,0,11,9
ES2003a - User wishes,0.35714285714285715,15,0,6,5
ES2003b - Joystick use,0.3333333333333333,22,0,8,9
ES2003b - Remote purpose,0.35555555555555557,46,0,15,6
ES2003c - Manufacturer codes,0.5555555555555556,19,0,7,6
ES2003c - Remote design,0.2727272727272727,23,0,9,8
ES2003c - Three types of batteries,0.4,16,0,6,5
ES2003c - USB functionality,0.34782608695652173,24,0,9,11
ES2003d - Fashion score,0.375,41,0,15,14
ES2003d - Innovation score,0.5,13,0,7,4
ES2003d - Lost remote score,0.36363636363636365,23,0,7,5
ES2003d - Remote cost,0.28440366972477066,110,0,41,6
ES2004a - Older generation,0.2631578947368421,20,0,6,5
ES2004b - Batteries,0.35714285714285715,15,0,4,8
ES2004b - Combined remote,0.3888888888888889,19,0,7,7
ES2004b - Remote design,0.35294117647058826,18,0,5,3
ES2004b - Target audience,0.4,6,0,4,2
ES2004b - Touch screen,0.3,11,0,4,3
ES2004b - Video plus,0.4444444444444444,19,0,7,5
ES2004c - Battery options,0.4117647058823529,35,0,11,7
ES2004c - Different fasciae,0.38461538461538464,14,0,4,4
ES2004d - Rubber remote,0.42857142857142855,22,0,11,9
ES2005b - Lost remote,0.2222222222222222,19,0,7,5
ES2005c - LCD screen,0.23809523809523808,22,0,7,6
ES2005c - Rechargeable,0.225,41,0,13,6
ES2005c - Remote casing,0.3333333333333333,16,0,5,4
ES2005c - Remote casings,0.2727272727272727,23,0,8,7
ES2005c - Remote color,0.21428571428571427,15,0,5,10
ES2005d - Trend score,0.5,13,0,5,4
ES2006a - Remote first ideas,0.3333333333333333,22,0,9,6
ES2006b - Target audience,0.15,21,0,8,6
ES2006b - Voice recognition or buttons,0.5454545454545454,12,0,4,4
ES2006b - Voice recognition,0.23529411764705882,18,0,6,7
ES2006d - Flipping open,0.29411764705882354,18,0,3,9
