file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,42.86%,8,0,5,2
ES2002a - Remote design wrap up,38.46%,14,0,7,4
ES2002a - Remote functionality,50.00%,31,0,17,8
ES2002b - Desired functions,57.14%,22,0,13,8
ES2002b - Target audience,51.72%,30,0,13,6
ES2002c - LCD display,50.00%,13,0,8,6
ES2002c - Light option,60.00%,21,0,9,11
ES2002c - Remote shape,63.64%,23,0,14,7
ES2002c - Technology,53.33%,16,0,6,4
ES2002d - Digital pens,33.33%,13,0,5,3
ES2002d - Jog dial use,55.00%,21,0,9,7
ES2002d - Leadership,76.92%,14,0,9,5
ES2002d - Remote height,25.00%,17,0,5,8
ES2002d - Remote size,80.00%,11,0,7,7
ES2002d - Remote width,66.67%,13,0,4,5
ES2002d - Teamwork,45.83%,25,0,9,6
ES2003a - Marktpositie AB,38.10%,22,0,13,9
ES2003a - User wishes,42.86%,15,0,6,5
ES2003b - Joystick use,52.38%,22,0,9,9
ES2003b - Remote purpose,53.33%,46,0,17,6
ES2003c - Manufacturer codes,61.11%,19,0,10,6
ES2003c - Remote design,50.00%,23,0,9,8
ES2003c - Three types of batteries,40.00%,16,0,5,5
ES2003c - USB functionality,52.17%,24,0,10,11
ES2003d - Fashion score,62.50%,41,0,16,14
ES2003d - Innovation score,33.33%,13,0,5,4
ES2003d - Lost remote score,50.00%,23,0,9,5
ES2003d - Remote cost,54.13%,110,0,20,6
ES2004a - Older generation,52.63%,20,0,9,5
ES2004b - Batteries,57.14%,15,0,6,8
ES2004b - Combined remote,38.89%,19,0,9,7
ES2004b - Remote design,58.82%,18,0,6,3
ES2004b - Target audience,40.00%,6,0,4,2
ES2004b - Touch screen,40.00%,11,0,4,3
ES2004b - Video plus,50.00%,19,0,8,5
ES2004c - Battery options,61.76%,35,0,14,7
ES2004c - Different fasciae,61.54%,14,0,5,4
ES2004d - Rubber remote,57.14%,22,0,12,9
ES2005b - Lost remote,55.56%,19,0,11,5
ES2005c - LCD screen,42.86%,22,0,12,6
ES2005c - Rechargeable,35.00%,41,0,18,6
ES2005c - Remote casing,40.00%,16,0,6,4
ES2005c - Remote casings,36.36%,23,0,7,7
ES2005c - Remote color,21.43%,15,0,6,10
ES2005d - Trend score,50.00%,13,0,6,4
ES2006a - Remote first ideas,52.38%,22,0,10,6
ES2006b - Target audience,50.00%,21,0,12,6
ES2006b - Voice recognition or buttons,63.64%,12,0,4,4
ES2006b - Voice recognition,52.94%,18,0,6,7
ES2006d - Flipping open,52.94%,18,0,7,9
