file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,42.86%,8,0,5,2
ES2002a - Remote design wrap up,53.85%,14,0,6,4
ES2002a - Remote functionality,43.33%,31,0,11,8
ES2002b - Desired functions,71.43%,22,0,12,8
ES2002b - Target audience,48.28%,30,0,8,6
ES2002c - LCD display,58.33%,13,0,7,6
ES2002c - Light option,75.00%,21,0,11,11
ES2002c - Remote shape,68.18%,23,0,13,7
ES2002c - Technology,53.33%,16,0,5,4
ES2002d - Digital pens,50.00%,13,0,4,3
ES2002d - Jog dial use,55.00%,21,0,7,7
ES2002d - Leadership,69.23%,14,0,8,5
ES2002d - Remote height,43.75%,17,0,10,8
ES2002d - Remote size,90.00%,11,0,7,7
ES2002d - Remote width,66.67%,13,0,4,5
ES2002d - Teamwork,33.33%,25,0,7,6
ES2003a - Marktpositie AB,47.62%,22,0,10,9
ES2003a - User wishes,35.71%,15,0,5,5
ES2003b - Joystick use,66.67%,22,0,8,9
ES2003b - Remote purpose,51.11%,46,0,11,6
ES2003c - Manufacturer codes,66.67%,19,0,7,6
ES2003c - Remote design,36.36%,23,0,9,8
ES2003c - Three types of batteries,40.00%,16,0,6,5
ES2003c - USB functionality,47.83%,24,0,10,11
ES2003d - Fashion score,50.00%,41,0,8,14
ES2003d - Innovation score,41.67%,13,0,5,4
ES2003d - Lost remote score,54.55%,23,0,8,5
ES2003d - Remote cost,55.96%,110,0,17,6
ES2004a - Older generation,63.16%,20,0,7,5
ES2004b - Batteries,57.14%,15,0,6,8
ES2004b - Combined remote,44.44%,19,0,8,7
ES2004b - Remote design,52.94%,18,0,7,3
ES2004b - Target audience,40.00%,6,0,4,2
ES2004b - Touch screen,70.00%,11,0,4,3
ES2004b - Video plus,38.89%,19,0,6,5
ES2004c - Battery options,61.76%,35,0,11,7
ES2004c - Different fasciae,38.46%,14,0,5,4
ES2004d - Rubber remote,57.14%,22,0,10,9
ES2005b - Lost remote,61.11%,19,0,9,5
ES2005c - LCD screen,61.90%,22,0,8,6
ES2005c - Rechargeable,42.50%,41,0,10,6
ES2005c - Remote casing,40.00%,16,0,8,4
ES2005c - Remote casings,36.36%,23,0,5,7
ES2005c - Remote color,14.29%,15,0,5,10
ES2005d - Trend score,41.67%,13,0,6,4
ES2006a - Remote first ideas,38.10%,22,0,7,6
ES2006b - Target audience,35.00%,21,0,8,6
ES2006b - Voice recognition or buttons,54.55%,12,0,4,4
ES2006b - Voice recognition,52.94%,18,0,5,7
ES2006d - Flipping open,64.71%,18,0,10,9
